,instance_id,segment_id,date,interval,uptime,heavy,car,bike,pedestrian,heavy_lft,heavy_rgt,car_lft,car_rgt,bike_lft,bike_rgt,pedestrian_lft,pedestrian_rgt,direction,car_speed_hist_0to70plus,car_speed_hist_0to120plus,timezone,v85
0,-1,9000001395,2021-03-01T10:00:00.000Z,hourly,0.7502777778,0.0,197.2602739726,98.6301369863,18.6597556461,0.0,0.0,99.9629766753,97.2972972973,51.9807478712,46.6493891151,6.664198445,11.995557201,1,"[3.3783783784, 19.5945945946, 41.8918918919, 20.2702702703, 7.4324324324, 3.3783783784, 1.3513513514, 2.7027027027]","[0.6756756757, 2.7027027027, 6.0810810811, 13.5135135135, 18.2432432432, 23.6486486486, 11.4864864865, 8.7837837838, 4.7297297297, 2.7027027027, 2.7027027027, 0.6756756757, 0.6756756757, 0.6756756757, 0.6756756757, 0.0, 0.0, 0.0, 0.6756756757, 0.0, 0.6756756757, 0.0, 0.6756756757, 0.0, 0.0]",Europe/Berlin,37.5
0,-1,9000001395,2021-03-01T11:00:00.000Z,hourly,0.7161111111,0.0,206.6718386346,164.7788983708,4.1892940264,0.0,0.0,80.9930178433,125.6788207913,113.1109387122,51.6679596587,2.7928626843,1.3964313421,1,"[18.9189189189, 30.4054054054, 33.1081081081, 10.8108108108, 2.7027027027, 3.3783783784, 0.6756756757, 0.0]","[9.4594594595, 9.4594594595, 10.8108108108, 19.5945945946, 16.8918918919, 16.2162162162, 9.4594594595, 1.3513513514, 0.0, 2.7027027027, 2.027027027, 1.3513513514, 0.6756756757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,29.0
0,-1,9000001395,2021-03-01T12:00:00.000Z,hourly,0.6713888889,0.0,396.193628465,162.3500206868,10.4261481175,0.0,0.0,192.1390153082,204.0546131568,108.7298303682,53.6201903186,7.4472486554,2.9788994621,1,"[28.1954887218, 42.8571428571, 26.3157894737, 1.8796992481, 0.7518796992, 0.0, 0.0, 0.0]","[12.4060150376, 15.7894736842, 19.5488721805, 23.3082706767, 19.5488721805, 6.7669172932, 1.1278195489, 0.7518796992, 0.3759398496, 0.3759398496, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,21.0
0,-1,9000001395,2021-03-01T13:00:00.000Z,hourly,0.7025,0.0,391.4590747331,92.5266903915,7.1174377224,0.0,0.0,223.487544484,167.9715302491,51.2455516014,41.28113879,5.6939501779,1.4234875445,1,"[68.7272727273, 18.9090909091, 12.0, 0.0, 0.0, 0.0, 0.0, 0.3636363636]","[41.0909090909, 27.6363636364, 7.6363636364, 11.2727272727, 6.5454545455, 5.4545454545, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3636363636, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,16.5
0,-1,9000001395,2021-03-01T14:00:00.000Z,hourly,0.7041666667,0.0,586.5088757396,96.5680473373,9.9408284024,0.0,0.0,320.9467455621,265.5621301775,28.4023668639,68.1656804734,5.6804733728,4.2603550296,1,"[35.3510895884, 52.0581113801, 12.3486682809, 0.2421307506, 0.0, 0.0, 0.0, 0.0]","[17.9176755448, 17.4334140436, 26.1501210654, 25.9079903148, 10.411622276, 1.9370460048, 0.0, 0.2421307506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,17.0
0,-1,9000001395,2021-03-01T15:00:00.000Z,hourly,0.735,0.0,636.7346938775,38.0952380952,2.7210884354,0.0,0.0,378.231292517,258.5034013605,2.7210884354,35.3741496599,1.3605442177,1.3605442177,1,"[48.5042735043, 46.1538461538, 4.9145299145, 0.4273504274, 0.0, 0.0, 0.0, 0.0]","[22.0085470085, 26.4957264957, 27.9914529915, 18.1623931624, 4.2735042735, 0.641025641, 0.4273504274, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,15.0
0,-1,9000001395,2021-03-01T16:00:00.000Z,hourly,0.7497222222,0.0,605.5576139311,158.7254538718,6.6691367173,0.0,0.0,340.1259725824,265.4316413486,52.019266395,106.7061874768,1.3338273435,5.3353093738,1,"[50.8810572687, 21.8061674009, 24.0088105727, 2.422907489, 0.4405286344, 0.0, 0.0, 0.4405286344]","[27.7533039648, 23.127753304, 10.3524229075, 11.4537444934, 15.4185022026, 8.59030837, 1.9823788546, 0.4405286344, 0.4405286344, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2202643172, 0.0, 0.0, 0.2202643172, 0.0]",Europe/Berlin,21.5
0,-1,9000001395,2021-03-01T17:00:00.000Z,hourly,0.205,0.0,507.3170731707,214.6341463415,19.512195122,0.0,0.0,331.7073170732,175.6097560976,87.8048780488,126.8292682927,4.8780487805,14.6341463415,1,"[11.5384615385, 38.4615384615, 43.2692307692, 3.8461538462, 2.8846153846, 0.0, 0.0, 0.0]","[9.6153846154, 1.9230769231, 8.6538461538, 29.8076923077, 30.7692307692, 12.5, 2.8846153846, 0.9615384615, 0.9615384615, 1.9230769231, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,24.0
0,-1,9000001395,2021-03-01T18:00:00.000Z,hourly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,
0,-1,9000001395,2021-03-01T19:00:00.000Z,hourly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",Europe/Berlin,
